"State","Abbreviation","Timezone"
"Alabama","AL","CST"
"Alaska","AK","AKST"
"Arizona","AZ","MST"
"Arkansas","AR","CST"
"California","CA","PST"
"Colorado","CO","MST"
"Connecticut","CT","EST"
"Delaware","DE","EST"
"District of Columbia","DC","EST"
"Florida","FL","EST"
"Georgia","GA","EST"
"Hawaii","HI","HST"
"Idaho","ID","MST"
"Illinois","IL","CST"
"Indiana","IN","EST"
"Iowa","IA","CST"
"Kansas","KS","CST"
"Kentucky","KY","CST"
"Louisiana","LA","CST"
"Maine","ME","EST"
"Maryland","MD","EST"
"Massachusetts","MA","EST"
"Michigan","MI","EST"
"Minnesota","MN","CST"
"Mississippi","MS","CST"
"Missouri","MO","CST"
"Montana","MT","MST"
"Nebraska","NE","CST"
"Nevada","NV","PST"
"New Hampshire","NH","EST"
"New Jersey","NJ","EST"
"New Mexico","NM","MST"
"New York","NY","EST"
"North Carolina","NC","EST"
"North Dakota","ND","CST"
"Ohio","OH","EST"
"Oklahoma","OK","CST"
"Oregon","OR","PST"
"Pennsylvania","PA","EST"
"Puerto Rico","PR","AST"
"Rhode Island","RI","EST"
"South Carolina","SC","EST"
"South Dakota","SD","CST"
"Tennessee","TN","CST"
"Texas","TX","CST"
"Utah","UT","MST"
"Vermont","VT","EST"
"Virginia","VA","EST"
"Washington","WA","PST"
"West Virginia","WV","EST"
"Wisconsin","WI","CST"
"Wyoming","WY","MST"
